decile,n,avg_vol,min_vol,max_vol,spike_pct,suspicious_pct
D1,159,0.03645995938949976,1.975189577528435e-05,0.044424561695571116,10.062893081761008,3.1446540880503147
D2,158,0.0498239835278699,0.04442737134330668,0.05270591412302465,14.556962025316455,4.430379746835443
D3,159,0.058030061322158745,0.05271614870167306,0.06378789891152428,18.867924528301888,4.40251572327044
D4,158,2.250223597410136,0.06384285974046616,6.5862456205674995,9.49367088607595,0.6329113924050633
D5,159,10.255429762026255,6.6154059186840515,13.282144329879902,11.949685534591195,5.031446540880504
D6,158,16.485972950399283,13.29003421323461,19.71323664394198,14.556962025316455,5.063291139240507
D7,158,22.591567327138403,19.739376808170604,25.629221186562283,18.9873417721519,5.69620253164557
D8,159,29.93927704208908,25.66342837979948,34.26897126956608,11.320754716981133,3.1446540880503147
D9,158,41.94944864167112,34.28143677096897,51.60191064404205,8.860759493670885,1.89873417721519
D10,159,84.71968950124729,51.67046733662588,302.8861358165975,5.031446540880504,0.628930817610063
